field,cluster,value,cells,within_cluster_fraction
source,2,Dura,0,0.0
source,2,Meningioma,1772,1.0
source,2,Meningioma brain-tumor interface,0,0.0
source,3,Dura,69,0.01764705882352941
source,3,Meningioma,2921,0.7470588235294118
source,3,Meningioma brain-tumor interface,920,0.23529411764705882
source,4,Dura,232,0.20156385751520417
source,4,Meningioma,586,0.5091225021720244
source,4,Meningioma brain-tumor interface,333,0.2893136403127715
source,5,Dura,150,0.06172839506172839
source,5,Meningioma,1971,0.8111111111111111
source,5,Meningioma brain-tumor interface,309,0.1271604938271605
source,6,Dura,328,0.10775295663600526
source,6,Meningioma,2713,0.8912614980289093
source,6,Meningioma brain-tumor interface,3,0.0009855453350854138
source,7,Dura,101,0.03715967623252391
source,7,Meningioma,1144,0.42089771891096395
source,7,Meningioma brain-tumor interface,1473,0.5419426048565121
source,8,Dura,17,0.003171050177205745
source,8,Meningioma,2312,0.43126282409998135
source,8,Meningioma brain-tumor interface,3032,0.565566125722813
source,9,Dura,1,0.0005549389567147614
source,9,Meningioma,74,0.041065482796892344
source,9,Meningioma brain-tumor interface,1727,0.9583795782463929
cell_type,0,Endothelial,6,0.005628517823639775
cell_type,0,Glia,6,0.005628517823639775
cell_type,0,Malignant,1043,0.9784240150093808
cell_type,0,Monocyte,2,0.001876172607879925
cell_type,0,Pericyte,6,0.005628517823639775
cell_type,0,T_cell,3,0.0028142589118198874
cell_type,1,Endothelial,8,0.00266755585195065
cell_type,1,Glia,15,0.005001667222407469
cell_type,1,Malignant,2904,0.968322774258086
cell_type,1,Monocyte,31,0.010336778926308769
cell_type,1,Pericyte,41,0.013671223741247083
cell_type,1,T_cell,0,0.0
cell_type,10,Endothelial,2,0.0002987303958177745
cell_type,10,Glia,3,0.00044809559372666166
cell_type,10,Malignant,6599,0.9856609410007469
cell_type,10,Monocyte,76,0.01135175504107543
cell_type,10,Pericyte,13,0.001941747572815534
cell_type,10,T_cell,2,0.0002987303958177745
cell_type,11,Endothelial,10,0.003385240352064997
cell_type,11,Glia,69,0.023358158429248477
cell_type,11,Malignant,59,0.01997291807718348
cell_type,11,Monocyte,128,0.043331076506431955
cell_type,11,Pericyte,2686,0.9092755585646581
cell_type,11,T_cell,2,0.0006770480704129993
cell_type,12,Endothelial,13,0.002876742642177473
cell_type,12,Glia,7,0.001549015268864793
cell_type,12,Malignant,62,0.013719849524231024
cell_type,12,Monocyte,110,0.024341668510732464
cell_type,12,Pericyte,12,0.0026554547466253594
cell_type,12,T_cell,4315,0.9548572693073689
cell_type,13,Endothelial,2,0.0028011204481792717
cell_type,13,Glia,5,0.0070028011204481795
cell_type,13,Malignant,76,0.10644257703081232
cell_type,13,Monocyte,619,0.8669467787114846
cell_type,13,Pericyte,2,0.0028011204481792717
cell_type,13,T_cell,10,0.014005602240896359
cell_type,14,Endothelial,13,0.0014762661821485351
cell_type,14,Glia,1,0.00011355893708834885
cell_type,14,Malignant,8534,0.9691119691119691
cell_type,14,Monocyte,152,0.017260958437429027
cell_type,14,Pericyte,101,0.011469452645923235
cell_type,14,T_cell,5,0.0005677946854417443
cell_type,15,Endothelial,0,0.0
cell_type,15,Glia,6,0.002798507462686567
cell_type,15,Malignant,2087,0.9734141791044776
cell_type,15,Monocyte,32,0.014925373134328358
cell_type,15,Pericyte,5,0.0023320895522388058
cell_type,15,T_cell,14,0.0065298507462686565
cell_type,16,Endothelial,4,0.0005918910920390648
cell_type,16,Glia,21,0.0031074282332050904
