input_symbol,expression_symbol,match_mode,expression_row_1based,prevalence_cells,included_after_prevalence
B4GALNT2,B4GALNT2,exact,27826.0,22.0,True
B4GALT1,B4GALT1,exact,15927.0,25660.0,True
B4GALT2,B4GALT2,exact,906.0,13332.0,True
B4GALT3,B4GALT3,exact,2190.0,10067.0,True
B4GALT4,B4GALT4,exact,6360.0,21500.0,True
B4GALT5,B4GALT5,exact,29789.0,17366.0,True
B4GALT6,B4GALT6,exact,28754.0,2705.0,True
B4GALT7,B4GALT7,exact,10082.0,14818.0,True
B4GAT1,B4GAT1,exact,18041.0,18581.0,True
BAAT,BAAT,exact,16405.0,117.0,True
BBOX1,BBOX1,exact,17417.0,94.0,True
BCAN,BCAN,exact,2064.0,106.0,True
BCAT1,BCAT1,exact,20478.0,16659.0,True
BCAT2,BCAT2,exact,31552.0,9099.0,True
BCHE,BCHE,exact,6803.0,1602.0,True
BCKDHA,BCKDHA,exact,31269.0,766.0,True
BCKDHB,BCKDHB,exact,11120.0,8319.0,True
BCKDK,BCKDK,exact,25774.0,14405.0,True
BCO1,BCO1,exact,26382.0,214.0,True
BCO2,BCO2,exact,18551.0,5384.0,True
BCS1L,BCS1L,exact,5129.0,9759.0,True
BDH1,BDH1,exact,7138.0,2807.0,True
BDH2,BDH2,exact,7919.0,22653.0,True
BGN,BGN,exact,14327.0,27647.0,True
BHMT,BHMT,exact,9115.0,138.0,True
BHMT2,BHMT2,exact,9114.0,5342.0,True
BLVRA,BLVRA,exact,12225.0,20900.0,True
BLVRB,BLVRB,exact,31237.0,28478.0,True
BMAL1,,unmatched,,,False
BMX,BMX,exact,13434.0,328.0,True
BPGM,BPGM,exact,12970.0,13129.0,True
BPHL,BPHL,exact,10203.0,11128.0,True
BPNT1,BPNT1,exact,2799.0,7195.0,True
BPNT2,,unmatched,,,False
BRIP1,BRIP1,exact,28022.0,3051.0,True
BST1,BST1,exact,7348.0,10407.0,True
BTD,BTD,exact,5586.0,9088.0,True
CA1,CA1,exact,15184.0,4.0,False
CA12,CA12,exact,24474.0,1325.0,True
CA13,CA13,exact,15181.0,1800.0,True
CA14,CA14,exact,1799.0,2273.0,True
CA2,CA2,exact,15187.0,6128.0,True
CA3,CA3,exact,15185.0,10933.0,True
CA4,CA4,exact,28003.0,1269.0,True
CA5A,CA5A,exact,26500.0,100.0,True
CA5B,CA5B,exact,13438.0,3679.0,True
CA6,CA6,exact,204.0,29.0,True
CA7,CA7,exact,26109.0,64.0,True
CA9,CA9,exact,16004.0,907.0,True
CACNA1A,CACNA1A,exact,30580.0,7792.0,True
CACNA1C,CACNA1C,exact,20134.0,7121.0,True
CACNA1D,CACNA1D,exact,6015.0,2472.0,True
CACNA1E,CACNA1E,exact,2418.0,20.0,True
CACNA2D2,CACNA2D2,exact,5948.0,3434.0,True
CACNB2,CACNB2,exact,19060.0,6942.0,True
CACNB3,CACNB3,exact,20691.0,6192.0,True
CAD,CAD,exact,3454.0,8918.0,True
CALM1,CALM1,exact,23481.0,51637.0,True
CARM1,CARM1,exact,30464.0,11093.0,True
CARNMT1,CARNMT1,exact,16183.0,9383.0,True
CARNS1,CARNS1,exact,18082.0,1520.0,True
CAV1,CAV1,exact,12809.0,22470.0,True
CBLIF,,unmatched,,,False
CBR1,CBR1,exact,33257.0,20435.0,True
CBR3,CBR3,exact,33260.0,3822.0,True
CBR4,CBR4,exact,8341.0,8990.0,True
CBS,CBS,exact,33358.0,403.0,True
CCNC,CCNC,exact,11221.0,19394.0,True
CD320,CD320,exact,30368.0,19388.0,True
CD36,CD36,exact,12476.0,2523.0,True
CD38,CD38,exact,7349.0,1708.0,True
CD44,CD44,exact,17494.0,22135.0,True
CDA,CDA,exact,443.0,2101.0,True
CDIPT,CDIPT,exact,25688.0,17571.0,True
CDK19,CDK19,exact,11291.0,8575.0,True
CDK8,CDK8,exact,21947.0,6046.0,True
CDO1,CDO1,exact,9357.0,14104.0,True
CDS1,CDS1,exact,7802.0,1845.0,True
CDS2,CDS2,exact,29250.0,15101.0,True
CEMIP,CEMIP,exact,24769.0,15777.0,True
CEPT1,CEPT1,exact,1558.0,8438.0,True
CERK,CERK,exact,32893.0,9340.0,True
CERS1,CERS1,exact,30784.0,3543.0,True
CERS2,CERS2,exact,1820.0,30168.0,True
CERS3,CERS3,exact,25019.0,25.0,True
CERS4,CERS4,exact,30366.0,6494.0,True
CERS5,CERS5,exact,20747.0,14881.0,True
CERS6,CERS6,exact,4686.0,11739.0,True
CERT1,,unmatched,,,False
CES1,CES1,exact,25981.0,1579.0,True
CES2,CES2,exact,26114.0,11648.0,True
CES3,CES3,exact,26115.0,165.0,True
CGA,CGA,exact,11155.0,206.0,True
CH25H,CH25H,exact,19616.0,7665.0,True
CHAC1,CHAC1,exact,24173.0,830.0,True
CHAC2,CHAC2,exact,3691.0,2728.0,True
CHAT,CHAT,exact,19295.0,0.0,False
CHD9,CHD9,exact,25948.0,32528.0,True
CHDH,CHDH,exact,6017.0,3315.0,True
CHKA,CHKA,exact,18109.0,12977.0,True
CHKB,CHKB,exact,32962.0,4312.0,True
CHP1,CHP1,exact,24179.0,21460.0,True
CHPF,CHPF,exact,5175.0,19520.0,True
CHPF2,CHPF2,exact,13253.0,10751.0,True
CHPT1,CHPT1,exact,21382.0,23422.0,True
CHRM3,CHRM3,exact,3025.0,2322.0,True
CHST1,CHST1,exact,17561.0,2184.0,True
CHST11,CHST11,exact,21419.0,9359.0,True
CHST12,CHST12,exact,11849.0,17415.0,True
CHST13,CHST13,exact,6453.0,394.0,True
CHST14,CHST14,exact,24153.0,8210.0,True
CHST15,CHST15,exact,19996.0,11148.0,True
CHST2,CHST2,exact,6630.0,4898.0,True
CHST3,CHST3,exact,19438.0,5083.0,True
CHST5,CHST5,exact,26316.0,4.0,False
CHST6,CHST6,exact,26312.0,801.0,True
CHST7,CHST7,exact,13603.0,5881.0,True
CHST9,CHST9,exact,28729.0,3078.0,True
CHSY1,CHSY1,exact,25035.0,20608.0,True
CHSY3,CHSY3,exact,9452.0,6499.0,True
CIAO1,CIAO1,exact,4138.0,19372.0,True
CIAO2B,,unmatched,,,False
CIAO3,,unmatched,,,False
CIAPIN1,CIAPIN1,exact,26025.0,15573.0,True
CIDEA,CIDEA,exact,28622.0,34.0,True
CIDEC,CIDEC,exact,5505.0,17.0,False
