cell_name,sample,cell_type,complexity,umap1,umap2,g1s_score,g2m_score,cell_cycle_phase,mp_top_score,mp_top,mp_assignment,Differentiation,Stemness,malignant
MGH54_P8_G04,MGH54,Malignant,3945,8.0961,8.7995,0.147,-0.056,Not cycling,0.8045,Oligo Progenitor,"",0.632201362,-0.252709904,yes
MGH54_P8_G05,MGH54,Malignant,4073,7.843,9.4465,-0.0536,0.0725,Not cycling,0.7066,Oligo Progenitor,"",0.475149427,0.853711772,yes
MGH54_P8_G06,MGH54,Malignant,3577,8.2897,9.6517,0.1393,-0.1574,Not cycling,0.4964,Metal response,"",-0.039050624,1.352229582,yes
MGH54_P8_G07,MGH54,Malignant,4215,7.6146,9.7831,0.3538,0.0941,Not cycling,0.9937,Oligo Progenitor,"",0.537138851,0.470471573,yes
MGH54_P8_G08,MGH54,Malignant,4313,7.8451,10.4244,-0.0163,-0.0049,Not cycling,0.4831,EMT III,"",-0.102625575,1.277306888,yes
MGH54_P8_G09,MGH54,Malignant,3354,7.8298,8.0498,0.1111,0.042,Not cycling,0.6199,MP41 (Unassigned),"",-0.111145365,1.321985095,yes
MGH54_P8_G10,MGH54,Malignant,3940,7.6795,10.7651,-0.0624,0.0765,Not cycling,0.5741,MP41 (Unassigned),"",0.214887857,0.833924684,yes
MGH54_P8_G11,MGH54,Malignant,4192,8.4113,8.5511,0.1137,0.0158,Not cycling,0.696,Oligo Progenitor,"",1.005780399,-0.041890055,yes
MGH54_P8_G12,MGH54,Malignant,4441,8.1325,8.7646,0.1568,-0.0267,Not cycling,0.9411,NPC/OPC,"",0.541423826,0.610119061,yes
MGH54_P8_H01,MGH54,Malignant,4612,7.1465,9.0055,0.2201,0.1113,Not cycling,1.3241,Oligo normal,"",1.512686297,-0.709115642,yes
MGH54_P8_H03,MGH54,Malignant,4340,6.0316,11.5304,0.0776,0.0375,Not cycling,0.4562,NPC Glioma,"",0.005980595,1.195008736,yes
MGH54_P8_H04,MGH54,Malignant,4250,7.437,10.068,-0.1004,0.0563,Not cycling,0.9721,Oligo Progenitor,"",0.434021978,0.488692651,yes
MGH54_P8_H06,MGH54,Malignant,3963,8.3818,9.09,0.1975,0.2163,Not cycling,1.0646,Oligo Progenitor,Oligo Progenitor,0.543731524,0.180518123,yes
MGH54_P8_H07,MGH54,Malignant,3847,8.2928,9.866,0.0846,0.0475,Not cycling,0.6859,NPC Glioma,"",0.465021289,0.943058082,yes
MGH54_P8_H08,MGH54,Malignant,4129,8.0085,10.3043,0.1841,0.0208,Not cycling,0.3763,Hemato-related I,"",0.078531351,0.331976658,yes
MGH54_P8_H10,MGH54,Malignant,4192,6.7488,9.439,0.0574,0.1521,Not cycling,0.3272,Respiration,"",0.36158789,0.338543205,yes
MGH54_P8_H12,MGH54,Malignant,3959,6.8369,8.5449,0.5018,0.0813,Not cycling,0.5531,MP41 (Unassigned),"",-0.435066584,0.587463103,yes
MGH54_P10_A01,MGH54,Malignant,4977,2.9535,17.747,-0.0143,-0.0305,Not cycling,0.7976,NPC/OPC,"",1.064544147,-0.73290424,yes
MGH54_P10_A02,MGH54,Malignant,4957,4.8638,15.2407,0.0857,0.0483,Not cycling,0.5513,MP41 (Unassigned),"",0.283770554,0.127128481,yes
MGH54_P10_A03,MGH54,Malignant,4431,5.9187,15.7801,0.013,-0.0756,Not cycling,0.4236,Oligo Progenitor,"",0.509429467,0.498519972,yes
MGH54_P10_A04,MGH54,Malignant,5526,-0.0906,4.5835,-0.1058,-0.0549,Not cycling,2.6576,Astrocytes,Astrocytes,-3.448097762,-3.950950424,yes
MGH54_P10_A05,MGH54,Malignant,5141,4.3759,15.1659,0.1855,0.009,Not cycling,0.6493,NPC/OPC,"",-0.027462025,0.53878629,yes
MGH54_P10_A06,MGH54,Malignant,5123,0.5206,17.5666,-0.0491,-0.0041,Not cycling,1.2427,Oligo Progenitor,Oligo Progenitor,1.421638971,-1.244198413,yes
MGH54_P10_A07,MGH54,Malignant,4471,1.2026,18.9883,0.043,0.1358,Not cycling,0.5157,NPC/OPC,"",0.011580603,0.790850468,yes
MGH54_P10_A09,MGH54,Malignant,5093,-1.3079,18.5412,0.0077,0.0823,Not cycling,1.4333,Oligo Progenitor,Oligo Progenitor,1.298681829,-1.661701038,yes
MGH54_P10_A10,MGH54,Malignant,6268,-0.6847,16.9614,0.2059,-0.026,Not cycling,0.2916,Protein maturation,"",0.031654306,0.251197279,yes
MGH54_P10_A11,MGH54,Malignant,5426,-0.647,15.8835,0.0487,-0.0485,Not cycling,0.2311,NPC/OPC,"",0.21883509,0.107806684,yes
MGH54_P10_A12,MGH54,Malignant,4803,-1.0641,5.7272,-0.02,0.1331,Not cycling,2.4312,Astrocytes,Astrocytes,-2.892656335,-3.45128146,yes
MGH54_P10_B01,MGH54,Malignant,5695,2.9659,14.677,0.1002,0.063,Not cycling,0.6757,Stress,"",-0.364198288,0.141282966,yes
MGH54_P10_B02,MGH54,Malignant,4409,2.838,13.3797,-0.0848,0.2195,Not cycling,0.8512,Stress (in vitro),"",-0.181492403,0.743277996,yes
MGH54_P10_B03,MGH54,Malignant,5249,1.8286,13.2774,-0.0049,0.0232,Not cycling,0.3057,Respiration,"",0.002833542,0.053846455,yes
MGH54_P10_B05,MGH54,Malignant,5458,6.7192,14.8137,-0.0741,0.1935,Not cycling,0.7908,Stress,"",0.463909376,0.327885562,yes
MGH54_P10_B06,MGH54,Malignant,4788,5.074,16.945,-0.0918,0.1202,Not cycling,1.1295,Oligo Progenitor,Oligo Progenitor,1.819857489,-1.523565699,yes
MGH54_P10_B07,MGH54,Malignant,5436,5.6504,17.1732,-0.2033,-0.0187,Not cycling,1.1533,Oligo Progenitor,Oligo Progenitor,1.04201818,-1.194721908,yes
MGH54_P10_B08,MGH54,Malignant,4566,1.5832,14.689,-0.0901,-0.1822,Not cycling,0.4847,NPC/OPC,"",0.128934016,0.765294549,yes
MGH54_P10_B09,MGH54,Malignant,5523,5.6176,17.1669,-0.0159,0.0697,Not cycling,1.1117,Oligo Progenitor,Oligo Progenitor,1.337834599,-0.36400053,yes
MGH54_P10_B10,MGH54,Malignant,5572,3.6396,13.6658,-0.0688,-0.1661,Not cycling,0.5478,Translation initiation,"",0.425873788,-0.200286277,yes
MGH54_P10_B11,MGH54,Malignant,3212,-5.0681,11.5089,-0.0692,0.039,Not cycling,0.729,NPC/OPC,"",0.515838903,0.823604781,yes
MGH54_P10_B12,MGH54,Malignant,4811,6.5126,15.4671,-0.0263,0.0342,Not cycling,1.3284,Translation initiation,"",0.029137071,0.787080395,yes
MGH54_P10_C01,MGH54,Malignant,4932,5.5663,17.3847,-0.1488,-0.159,Not cycling,0.8408,Oligo Progenitor,"",0.443664361,-0.346594271,yes
